"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Melopsittacus undulatus",-24.252403,131.57351,"2013-02-13"
"Melopsittacus undulatus",-23.776548,133.073273,"2010-07-11"
"Melopsittacus undulatus",-24.025,134.0858,"2012-05-26"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-10-08"
"Melopsittacus undulatus",-23.515692,133.583139,"2016-08-14"
"Melopsittacus undulatus",-24.42842,124.46742,"2018-08-01"
"Melopsittacus undulatus",-28.61143,145.87126,"2012-04-16"
"Melopsittacus undulatus",-29.74,147.763611,"2012-09-17"
"Melopsittacus undulatus",-20.98861,139.9064,"2015-06-14"
"Melopsittacus undulatus",-22.85056,133.83444,"2010-09-05"
"Melopsittacus undulatus",-29.09937,141.73461,"2012-11-12"
"Melopsittacus undulatus",-23.71941,133.87759,"2012-03-20"
"Melopsittacus undulatus",-25.170338,132.269895,"2010-03-11"
"Melopsittacus undulatus",-30.01525,130.0638,"2011-08-26"
"Melopsittacus undulatus",-24.417611,143.289485,"2016-10-01"
"Melopsittacus undulatus",-34.38706,141.59698,"2013-03-31"
"Melopsittacus undulatus",-27.23684,134.81229,"2016-08-08"
"Melopsittacus undulatus",-31.568323,129.905785,"2017-10-11"
"Melopsittacus undulatus",-22.46833,118.5525,"2015-05-16"
"Melopsittacus undulatus",-25.30151,130.99582,"2012-01-19"
"Melopsittacus undulatus",-22.324359,113.813568,"2017-05-05"
"Melopsittacus undulatus",-21.83578,115.12893,"2015-08-27"
"Melopsittacus undulatus",-30.583334,142.25,"2010-03-23"
"Melopsittacus undulatus",-23.699236,133.828361,"2013-06-29"
"Melopsittacus undulatus",-23.19815,131.9227,"2017-05-30"
"Melopsittacus undulatus",-23.79306,133.92361,"2010-06-22"
"Melopsittacus undulatus",-29.64596,137.71526,"2016-08-17"
"Melopsittacus undulatus",-27.98764,145.60875,"2015-01-16"
"Melopsittacus undulatus",-20.30778,119.2517,"2013-07-20"
"Melopsittacus undulatus",-33.011542,146.061859,"2011-10-29"
"Melopsittacus undulatus",-25.308333,131.7025,"2012-07-01"
"Melopsittacus undulatus",-24.014649,134.078742,"2017-12-11"
"Melopsittacus undulatus",-25.86018,139.49989,"2016-09-12"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-07-08"
"Melopsittacus undulatus",-29.87594,133.58144,"2014-11-10"
