"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Ninox strenua",-27.529152,152.957285,"2020-03-03"
"Ninox strenua",-26.677215,153.117555,"2020-04-28"
"Ninox strenua",-27.530145,153.249403,"2020-05-03"
"Ninox strenua",-27.744892,152.912176,"2020-05-05"
"Ninox strenua",-27.5,153,"2020-03-03"
"Ninox strenua",-33.71084,151.045876,"2020-04-25"
"Ninox strenua",-27.962466,153.270536,"2020-04-30"
"Ninox strenua",-37.887857,145.394996,"2020-04-24"
"Ninox strenua",-37.523205,145.286894,"2020-04-29"
"Ninox strenua",-33.7,150.57,"2019-09-01"
"Ninox strenua",-37.3954,144.2831,"2019-12-22"
"Ninox strenua",-37.5149,144.2583,"2019-12-14"
"Ninox strenua",-37.885433,145.194732,"2020-04-19"
"Ninox strenua",-37.703447,145.240033,"2020-04-21"
"Ninox strenua",-33.571101,151.216935,"2020-03-29"
"Ninox strenua",-36.58,149.76,"2019-09-01"
"Ninox strenua",-33.9,151.23,"2016-09-01"
"Ninox strenua",-34.01,151.07,"2016-07-01"
"Ninox strenua",-34.05,151.08,"2019-08-01"
"Ninox strenua",-33.9,151.23,"2016-09-01"
"Ninox strenua",-34.01,151.07,"2016-07-01"
"Ninox strenua",-33.9,151.23,"2016-09-01"
"Ninox strenua",-34.05,151.08,"2019-08-01"
"Ninox strenua",-27.706385,152.936364,"2020-03-31"
"Ninox strenua",-27.559226,153.132604,"2020-03-15"
"Ninox strenua",-38.150665,145.31908,"2020-03-22"
"Ninox strenua",-27.765,153.123056,"2020-03-08"
"Ninox strenua",-27.471646,152.965043,"2016-08-10"
"Ninox strenua",-33.912996,151.201048,"2018-08-23"
"Ninox strenua",-33.723473,151.168614,"2018-08-10"
"Ninox strenua",-33.853106,151.369474,"2016-07-14"
"Ninox strenua",-27.4093,152.911234,"2020-03-12"
"Ninox strenua",-27.469771,153.025124,"2016-11-06"
"Ninox strenua",-33.672919,151.228879,"2020-01-06"
"Ninox strenua",-38.000752,145.246173,"2020-03-17"
"Ninox strenua",-27.921101,153.169855,"2020-03-06"
"Ninox strenua",-37.90392,145.358903,"2019-04-22"
"Ninox strenua",-33.9,151.2,"2020-02-01"
"Ninox strenua",-27.435416,153.070226,"2020-02-10"
"Ninox strenua",-32.808766,151.73434,"2014-08-31"
"Ninox strenua",-27.518486,153.036271,"2020-02-11"
"Ninox strenua",-33.810415,151.227488,"2020-01-22"
"Ninox strenua",-33.973266,151.372866,"2020-01-22"
"Ninox strenua",-27.481356,153.013267,"2020-02-04"
"Ninox strenua",-27.467795,153.183901,"2020-02-04"
"Ninox strenua",-37.751716,145.087324,"2019-12-13"
"Ninox strenua",-27.530614,152.952826,"2019-06-04"
"Ninox strenua",-27.578887,153.184468,"2020-02-08"
"Ninox strenua",-27.582614,153.101955,"2020-02-07"
"Ninox strenua",-27.477549,153.105025,"2020-01-31"
"Ninox strenua",-32.976615,151.754386,"2020-01-14"
"Ninox strenua",-27.481422,153.157579,"2020-01-24"
"Ninox strenua",-33.805148,151.385581,"2019-12-18"
"Ninox strenua",-33.889035,151.373027,"2019-12-18"
"Ninox strenua",-33.813772,151.206123,"2019-12-18"
"Ninox strenua",-33.991717,151.259044,"2019-12-18"
"Ninox strenua",-33.962684,151.353488,"2019-12-18"
"Ninox strenua",-33.953902,151.391978,"2019-12-18"
"Ninox strenua",-27.612834,153.088399,"2019-12-17"
"Ninox strenua",-30.215364,153.04969,"2020-01-16"
"Ninox strenua",-29.588994,153.315507,"2020-01-06"
"Ninox strenua",-33.87867,151.311107,"2019-10-15"
